source_file_key,source_type,docket_numbers,source_url,match_method,confidence,review_status
2001-443,opinion,"[""2001-443""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002137white.pdf,source_case_number_and_caption,high,generated
2001-383,opinion,"[""2001-383""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002135derryfire.pdf,source_case_number_and_caption,high,generated
2001-434,opinion,"[""2001-434""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002136seabrook.pdf,source_case_number_and_caption,high,generated
2001-438,opinion,"[""2001-438""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002133statefarm.pdf,source_case_number_and_caption,high,generated
2002-0129,opinion,"[""2002-0129""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002134sisson.pdf,source_case_number_and_caption,high,generated
2001-134,opinion,"[""2001-134""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002132exeter.pdf,source_case_number_and_caption,high,generated
2001-270,opinion,"[""2001-270""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002131lorenzo.pdf,source_case_number_and_caption,high,generated
2001-594,opinion,"[""2001-594""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002129sintros.pdf,source_case_number_and_caption,high,generated
2001-558,opinion,"[""2001-558""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002128airpark.pdf,source_case_number_and_caption,high,generated
2002-136,opinion,"[""2002-136""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002130cross.pdf,source_case_number_and_caption,high,generated
2001-446,opinion,"[""2001-446""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002127lurvey.pdf,source_case_number_and_caption,high,generated
2001-418,opinion,"[""2001-418""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002126lockaby.pdf,source_case_number_and_caption,high,generated
2000-563,opinion,"[""2000-563"", ""2000-414""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002123moskoff.pdf,source_case_number_and_caption,high,generated
2000-776,opinion,"[""2000-776""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002125boucher.pdf,source_case_number_and_caption,high,generated
2000-443,opinion,"[""2000-443""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002124nemser.pdf,source_case_number_and_caption,high,generated
2001-083,opinion,"[""2001-083""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002122demeritt.pdf,source_case_number_and_caption,high,generated
2001-217,opinion,"[""2001-217""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002121vachon.pdf,source_case_number_and_caption,high,generated
2000-518,opinion,"[""2000-518""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002120tidd.pdf,source_case_number_and_caption,high,generated
2001-288,opinion,"[""2001-288""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002118coderre.pdf,source_case_number_and_caption,high,generated
2000-735,opinion,"[""2000-735""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002117hall.pdf,source_case_number_and_caption,high,generated
2001-457,opinion,"[""2001-457""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002119softball.pdf,source_case_number_and_caption,high,generated
2000-832,opinion,"[""2000-832""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002116kravitz.pdf,source_case_number_and_caption,high,generated
2001-109,opinion,"[""2001-109""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002114rood.pdf,source_case_number_and_caption,high,generated
2001-720,opinion,"[""2001-720""]",https://www.courts.nh.gov/sites/g/files/ehbemt471/files/documents/2022-10/2002115haines.pdf,source_case_number_and_caption,high,generated
