argument_id,disposition_id,disposition_type,link_method,link_confidence,is_final_disposition
2015-0067,2015-0067,case_order,docket_match,high,True
2015-0068,2015-0068,case_order,docket_match,high,True
2013-0762,2013-0762,opinion,docket_match,high,True
2014-0513,2014-0513,opinion,docket_match,high,True
2015-0115,2015-0115,opinion,docket_match,high,True
2015-0250,2015-0250,case_order,docket_match,high,True
2013-0800,2013-0800,3jx_order,docket_match,high,True
2014-0639,2014-0639,3jx_order,docket_match,high,True
2014-0812,2014-0812,opinion,docket_match,high,True
2015-0070,2015-0070,3jx_order,docket_match,high,True
2015-0074,2015-0074,3jx_order,docket_match,high,True
2014-0583,2014-0583,opinion,docket_match,high,True
2014-0659,2014-0659,opinion,docket_match,high,True
2015-0019,2015-0019,opinion,docket_match,high,True
2015-0032,2015-0032,opinion,docket_match,high,True
2015-0103,2015-0103,opinion,docket_match,high,True
2015-0143,2015-0143,opinion,docket_match,high,True
2015-0256,2015-0256,opinion,docket_match,high,True
2014-0631,2014-0631,opinion,docket_match,high,True
2014-0744,2014-0744,case_order,docket_match,high,True
2015-0187,2015-0187,opinion,docket_match,high,True
2015-0233,2015-0233,opinion,docket_match,high,True
2015-0351,,opinion,docket_match,review,True
2014-0745,2014-0745,case_order,docket_match,high,True
2015-0226,2015-0226,3jx_order,docket_match,high,True
2014-0720,,case_order,docket_match,review,True
2014-0739,2014-0739,opinion,docket_match,high,True
2015-0264,2015-0264,opinion,docket_match,high,True
2015-0270,2015-0270,case_order,docket_match,high,True
2015-0274,2015-0274,opinion,docket_match,high,True
2015-0333,2015-0333,opinion,docket_match,high,True
2015-0361,2015-0361,opinion,docket_match,high,True
2014-0662,2014-0662,opinion,docket_match,high,True
2015-0255,2015-0255,opinion,docket_match,high,True
2015-0366,2015-0366,opinion,docket_match,high,True
2015-0442,2015-0442,opinion,docket_match,high,True
2015-0477,2015-0477,opinion,docket_match,high,True
2014-0755,2014-0755,3jx_order,docket_match,high,True
2015-0222,2015-0222,3jx_order,docket_match,high,True
2015-0332,2015-0332,opinion,docket_match,high,True
2015-0384,2015-0384,3jx_order,docket_match,high,True
2014-0163,2016025cable,opinion,docket_match,high,True
2014-0721,2014-0721,opinion,docket_match,high,True
2015-0064,2015-0064,case_order,docket_match,high,True
2015-0155,2015-0155,opinion,docket_match,high,True
2015-0205,2015-0205,opinion,docket_match,high,True
2015-0342,2015-0342,opinion,docket_match,high,True
2015-0400,2015-0400,opinion,docket_match,high,True
2015-0174,2015-0174,opinion,docket_match,high,True
2015-0207,2015-0207,3jx_order,docket_match,high,True
2015-0382,2015-0382,case_order,docket_match,high,True
2015-0538,2015-0538,case_order,docket_match,high,True
2015-0218,2015-0218,opinion,docket_match,high,True
2015-0443,2015-0443,case_order,docket_match,high,True
2015-0536,2015-0536,opinion,docket_match,high,True
2015-0485,2015-0485,opinion,docket_match,high,True
2015-0537,2015-0537,case_order,docket_match,high,True
2015-0542,2015-0542,case_order,docket_match,high,True
2015-0573,2015-0573,opinion,docket_match,high,True
2015-0071,2015-0071,3jx_order,docket_match,high,True
2015-0315,2015-0315,3jx_order,docket_match,high,True
2014-0765,2014-0765,opinion,docket_match,high,True
2015-0383,2015-0383,opinion,docket_match,high,True
2015-0412,2015-0412,opinion,docket_match,high,True
2015-0029,2015-0029,3jx_order,docket_match,high,True
2015-0248,2015-0248,3jx_order,docket_match,high,True
2015-0339,2015-0339,3jx_order,docket_match,high,True
2015-0247,2015-0247,opinion,docket_match,high,True
2015-0335,2015-0335,opinion,docket_match,high,True
2015-0345,2015-0345,opinion,docket_match,high,True
2015-0430,2015-0430,opinion,docket_match,high,True
2015-0253,2015-0253,opinion,docket_match,high,True
2015-0338,2015-0338,opinion,docket_match,high,True
2015-0514,,opinion,docket_match,review,True
2015-0650,2015-0650,opinion,docket_match,high,True
2014-0774,2014-0774,opinion,docket_match,high,True
2015-0395,2015-0395,opinion,docket_match,high,True
2015-0434,20150434,case_order,docket_match,high,True
2014-0687,2014-0687,3jx_order,docket_match,high,True
2014-0750,2014-0750,3jx_order,docket_match,high,True
2015-0293,2015-0293,3jx_order,docket_match,high,True
2015-0401,2015-0401,3jx_order,docket_match,high,True
2014-0536,2014-0536,case_order,docket_match,high,True
2015-0349,2015-0349,opinion,docket_match,high,True
2015-0499,2015-0499,opinion,docket_match,high,True
2015-0605,2015-0605,opinion,docket_match,high,True
2015-0185,2015-0185,case_order,docket_match,high,True
2015-0404,2015-0404,opinion,docket_match,high,True
2015-0471,2015-0471,opinion,docket_match,high,True
2015-0498,2015-0498,opinion,docket_match,high,True
2015-0682,2015-0682,case_order,docket_match,high,True
2015-0392,2015-0392,3jx_order,docket_match,high,True
2015-0561,2015-0561,opinion,docket_match,high,True
2015-0569,2015-0569,opinion,docket_match,high,True
2015-0286,2015-0286,case_order,docket_match,high,True
2015-0329,2015-0329,opinion,docket_match,high,True
2015-0671,2015-0671,opinion,docket_match,high,True
2015-0694,2015-0694,opinion,docket_match,high,True
2015-0748,2015-0748,opinion,docket_match,high,True
2014-0592,2014-0592,opinion,docket_match,high,True
2015-0358,2015-0358,opinion,docket_match,high,True
2015-0368,2015-0368,case_order,docket_match,high,True
2015-0583,2015-0583,opinion,docket_match,high,True
2015-0701,2015-0701,3jx_order,docket_match,high,True
2015-0480,2015-0480,opinion,docket_match,high,True
2015-0524,2015-0524,opinion,docket_match,high,True
2015-0588,2015-0588,case_order,docket_match,high,True
2016-0050,2016-0050,case_order,docket_match,high,True
2016-0212,2016-0212,opinion,docket_match,high,True
2015-0457,2015-0457,opinion,docket_match,high,True
2015-0570,2015-0570,opinion,docket_match,high,True
2014-0791,2014-0791,opinion,docket_match,high,True
2015-0289,,opinion,docket_match,review,True
2015-0377,2015-0377,opinion,docket_match,high,True
2015-0624,2015-0624,opinion,docket_match,high,True
2014-0276,2014-0276,3jx_order,docket_match,high,True
2015-0658,2015-0658,3jx_order,docket_match,high,True
2016-0067,2016-0067,3jx_order,docket_match,high,True
2013-0480,2013-0480,opinion,docket_match,high,True
2015-0510,2015-0510,case_order,docket_match,high,True
2015-0636,2015-0636,opinion,docket_match,high,True
2015-0692,2015-0692,opinion,docket_match,high,True
2015-0720,2015-0720,case_order,docket_match,high,True
2016-0115,2016-0115,case_order,docket_match,high,True
2016-0122,2016-0122,opinion,docket_match,high,True
2016-0152,2016-0152,opinion,docket_match,high,True
2016-0176,2016-0176,opinion,docket_match,high,True
2014-0454,20140454,case_order,docket_match,high,True
2015-0609,2015-0609,opinion,docket_match,high,True
2016-0141,2016-0141,opinion,docket_match,high,True
2016-0177,2016-0177,opinion,docket_match,high,True
2016-0107,2016-0107,3jx_order,docket_match,high,True
2015-0484,2015-0484,opinion,docket_match,high,True
2016-0187,2016-0187,opinion,docket_match,high,True
2016-0064,2016-0064,case_order,docket_match,high,True
2014-0299,,opinion,docket_match,review,True
2014-0370,2017043candello,opinion,docket_match,high,True
2016-0151,2016-0151,opinion,docket_match,high,True
2016-0304,2016-0304,opinion,docket_match,high,True
2016-0088,2016-0088,case_order,docket_match,high,True
2016-0305,2016-0305,opinion,docket_match,high,True
2016-0350,2016-0350,opinion,docket_match,high,True
2016-0199,2016-0199,opinion,docket_match,high,True
2016-0243,2016-0243,opinion,docket_match,high,True
2016-0390,,opinion,docket_match,review,True
2015-0446,2015-0446,opinion,docket_match,high,True
2016-0219,2016-0219,case_order,docket_match,high,True
2016-0224,2016-0224,opinion,docket_match,high,True
2016-0289,2016-0289,case_order,docket_match,high,True
2016-0018,ld20160018,case_order,docket_match,high,True
2016-0379,2016-0379,3jx_order,docket_match,high,True
2016-0646,2016-0646,3jx_order,docket_match,high,True
2015-0683,2015-0683,opinion,docket_match,high,True
2016-0130,2016-0130,opinion,docket_match,high,True
2016-0209,2016-0209,case_order,docket_match,high,True
2016-0258,2016-0258,opinion,docket_match,high,True
2016-0357,2016-0357,opinion,docket_match,high,True
2015-0271,2015-0271,case_order,docket_match,high,True
2016-0251,,opinion,docket_match,review,True
2016-0268,2016-0268,opinion,docket_match,high,True
2016-0406,2016-0406,opinion,docket_match,high,True
2016-0201,2016-0201,case_order,docket_match,high,True
2016-0313,2016-0313,case_order,docket_match,high,True
2016-0328,2016-0328,case_order,docket_match,high,True
2016-0400,2016-0400,opinion,docket_match,high,True
2016-0318,2016-0318,opinion,docket_match,high,True
2016-0427,,opinion,docket_match,review,True
2016-0440,2016-0440,3jx_order,docket_match,high,True
2016-0472,2016-0472,3jx_order,docket_match,high,True
2016-0137,2016-0137,opinion,docket_match,high,True
2016-0528,2016-0528,opinion,docket_match,high,True
2016-0296,2016-0296,opinion,docket_match,high,True
2016-0540,2016-0540,opinion,docket_match,high,True
2016-0584,,opinion,docket_match,review,True
2016-0398,2016-0398,opinion,docket_match,high,True
2016-0491,2016-0491,opinion,docket_match,high,True
2016-0507,2016-0507,opinion,docket_match,high,True
2016-0263,2016-0263,3jx_order,docket_match,high,True
2016-0270,2016-0270,3jx_order,docket_match,high,True
2016-0361,2016-0361,3jx_order,docket_match,high,True
2016-0468,2016-0468,opinion,docket_match,high,True
2016-0235,2016-0235,opinion,docket_match,high,True
2016-0241,2016-0241,opinion,docket_match,high,True
2016-0370,2016-0370,opinion,docket_match,high,True
2016-0558,2016-0558,opinion,docket_match,high,True
2016-0562,2016-0562,case_order,docket_match,high,True
2016-0494,2016-0494,case_order,docket_match,high,True
